wl,UVS(380),UVS(460),LWS(520),LWS(580),LWS(600),LWS(620),LWS(640),LWS(660),LWS(680)
300,0.326229768,0.125232942,0.07596429,0.053441491,0.048204109,0.043743678,0.03992137,0.036645262,0.033894392
305,0.367922558,0.142980546,0.087018118,0.060940356,0.05484231,0.049644824,0.045190381,0.041373199,0.038166801
310,0.405719,0.160050956,0.098353121,0.068835819,0.061864032,0.055908002,0.050796197,0.046411874,0.042725165
315,0.440103355,0.175714376,0.109687283,0.077020817,0.06919138,0.06247633,0.056697138,0.051730646,0.047546859
320,0.472737495,0.189289648,0.120706228,0.085366471,0.076728677,0.069278568,0.062839966,0.057289568,0.052601732
325,0.506071701,0.200217544,0.131077971,0.093724696,0.084363827,0.076229761,0.069160132,0.063039409,0.057852006
330,0.542730476,0.208129823,0.140470722,0.101932084,0.091970574,0.08323252,0.075582458,0.068921987,0.063252403
335,0.5848411,0.212905425,0.148572593,0.109814957,0.099411638,0.090178939,0.082022293,0.074870834,0.068750513
340,0.633483668,0.214706406,0.155111827,0.117195434,0.106542657,0.096953133,0.088387119,0.080812218,0.07428742
345,0.68838873,0.213988589,0.159875997,0.123898244,0.113216785,0.103434314,0.094578606,0.086666481,0.079798581
350,0.747916046,0.211485059,0.16272863,0.129757946,0.119289791,0.109500329,0.100495032,0.092349706,0.085214959
355,0.809255692,0.208163905,0.163621929,0.1346262,0.124625401,0.115031513,0.106034033,0.097775641,0.090464371
360,0.868738198,0.205164468,0.162604542,0.13837866,0.129100647,0.119914704,0.111095544,0.102857849,0.095473036
365,0.922141082,0.203718295,0.159823832,0.140921121,0.132610955,0.12404724,0.115584862,0.107511987,0.100167277
370,0.964927414,0.205061884,0.155522546,0.142194544,0.135074695,0.127340765,0.119415673,0.111658169,0.10447531
375,0.992422825,0.210348143,0.150030329,0.142178676,0.136436968,0.129724655,0.12251294,0.115223289,0.108329092
380,1,0.220562737,0.143750924,0.14089407,0.136672419,0.1311489,0.124815513,0.118143245,0.111666132
385,0.983369151,0.236450542,0.137146208,0.138402411,0.135786944,0.131586309,0.126278356,0.120364951,0.11443122
390,0.939063455,0.258456707,0.130718363,0.134805171,0.133818212,0.131033934,0.126874282,0.121848075,0.116578012
395,0.865189439,0.286686357,0.124991412,0.130240728,0.130834998,0.129513645,0.126595137,0.122566424,0.118070401
400,0.762527279,0.320886468,0.120493164,0.124880191,0.126935398,0.127071857,0.125452361,0.122508916,0.118883623
405,0.636019621,0.360452286,0.117738266,0.118922241,0.122244071,0.12377843,0.123476945,0.121680111,0.119005078
410,0.496146725,0.404458277,0.117212632,0.112587356,0.116908698,0.119724837,0.120718759,0.120100285,0.118434799
415,0.358414216,0.451709993,0.119359152,0.106111792,0.111095891,0.115021708,0.117245335,0.117805039,0.117185597
420,0.238961618,0.500809169,0.124564281,0.099741693,0.104986819,0.109795909,0.11314015,0.114844486,0.115282844
425,0.147938193,0.550221181,0.133144976,0.09372764,0.098772801,0.104187329,0.108500533,0.111282052,0.112763936
430,0.08625832,0.598333221,0.145335592,0.088319855,0.092651114,0.098345558,0.103435287,0.107192962,0.10967745
435,0.048208119,0.643494035,0.161274718,0.083764211,0.086821219,0.092426633,0.098062178,0.102662479,0.106082039
440,0.026251587,0.684031605,0.180992497,0.080299032,0.081481549,0.086590012,0.092505398,0.097783994,0.102045127
445,0.014109498,0.718252651,0.204399601,0.078152592,0.076826935,0.080995916,0.086893137,0.092657051,0.097641443
450,0.007553674,0.744435529,0.231279564,0.077541072,0.073046684,0.075803125,0.081355371,0.087385404,0.092951489
455,0.004052534,0.760834125,0.26128627,0.078666671,0.070323226,0.071167297,0.07602196,0.082075187,0.088059977
460,0.00218718,0.765712894,0.293948046,0.081715483,0.068831169,0.067239793,0.071021108,0.076833273,0.083054327
465,0.001190287,0.757431186,0.328678847,0.086854765,0.068736564,0.064166968,0.066478239,0.07176589,0.078023272
470,0.000654073,0.734589588,0.364795683,0.094229243,0.07019608,0.062089823,0.062515272,0.06697753,0.073055623
475,0.000363194,0.696247174,0.401540036,0.103956253,0.073355818,0.061143874,0.059250271,0.062570176,0.068239244
480,0.000203867,0.64222246,0.43810002,0.11611967,0.078349453,0.061459032,0.056797407,0.058642855,0.063660259
485,0.000115693,0.573496166,0.473629817,0.130762835,0.085295464,0.06315931,0.055267115,0.055291482,0.059402521
490,6.63747E-05,0.49269671,0.507263678,0.147880973,0.094293291,0.066362095,0.05476634,0.052608971,0.055547317
495,3.84925E-05,0.404493096,0.538123514,0.167413838,0.105418399,0.071176791,0.055398699,0.050685518,0.052173336
500,2.25605E-05,0.31545848,0.56532156,0.189239499,0.118716391,0.077702646,0.057264412,0.049608998,0.049356821
505,1.33604E-05,0.232921836,0.587962335,0.213170257,0.134196535,0.086025647,0.060459812,0.049465353,0.047171909
510,7.99263E-06,0.162951106,0.605150715,0.238951493,0.151825239,0.096214467,0.065076294,0.05033885,0.045691062
515,4.82886E-06,0.108589932,0.616014568,0.266263946,0.171520169,0.108315569,0.071198554,0.052312102,0.044985535
520,2.94561E-06,0.069529636,0.619750077,0.294729386,0.193145788,0.122347729,0.078902041,0.055465702,0.045125795
525,1.81372E-06,0.043206292,0.615694481,0.323919096,0.216511004,0.138296361,0.088249621,0.059877366,0.046181797
530,1.127E-06,0.026306779,0.603423387,0.353364041,0.241369439,0.156108184,0.099287496,0.065620478,0.048223018
535,7.06524E-07,0.015820603,0.582858644,0.382565309,0.267422494,0.175686799,0.112040601,0.07276199,0.051318162
540,4.46762E-07,0.009456183,0.55436105,0.411003356,0.294324967,0.196889778,0.126507734,0.081359645,0.055534442
545,2.84887E-07,0.00564318,0.518775764,0.438144948,0.321692567,0.219527717,0.142656826,0.091458592,0.060936359
550,1.83154E-07,0.003373178,0.477403617,0.463447292,0.349110336,0.243365522,0.160420798,0.103087512,0.067583949
555,1.1869E-07,0.002024019,0.431890647,0.486359799,0.376140851,0.268125883,0.179694465,0.116254474,0.075530466
560,7.75125E-08,0.001220916,0.384055106,0.506324895,0.402331156,0.293494607,0.200332908,0.130942809,0.084819556
565,5.10039E-08,0.000741084,0.335693245,0.52278034,0.427217689,0.319127149,0.222151584,0.147107331,0.095482
570,3.38082E-08,0.000452918,0.288410944,0.535166292,0.450329046,0.344655517,0.244928253,0.164671301,0.107532192
575,2.25708E-08,0.000278802,0.243515247,0.542940691,0.471187092,0.369694684,0.268406583,0.183524448,0.120964555
580,1.51738E-08,0.000172894,0.201975798,0.545606028,0.489307699,0.393847763,0.292301033,0.203522339,0.13575017
585,1.02705E-08,0.00010802,0.164443105,0.542748894,0.504203135,0.416709496,0.316302434,0.224487223,0.151833898
590,6.99776E-09,6.7994E-05,0.13129716,0.534090603,0.515388626,0.437868095,0.340083608,0.246210314,0.169132279
595,4.79874E-09,4.31173E-05,0.102699069,0.519542888,0.522395822,0.456905967,0.363304344,0.268455308,0.187532456
600,3.31151E-09,2.7543E-05,0.07862802,0.499258249,0.524795401,0.473400456,0.385615245,0.290962748,0.206892273
605,2.29925E-09,1.77215E-05,0.05890116,0.473661645,0.522229733,0.486926241,0.406660189,0.313454732,0.227041595
610,1.606E-09,1.14832E-05,0.043187482,0.443451087,0.514454198,0.497061385,0.426077552,0.335639439,0.24778473
