wl,"UVS(380,A1)","SWS(460,A1)","MWS(520,A1)","LWS(580,A1)"
300,0.325925538,0.120343934,0.077444396,0.05443445
305,0.367579447,0.137398684,0.088713599,0.062072646
310,0.405340641,0.153802677,0.100269456,0.070114809
315,0.439692931,0.168854607,0.111824455,0.078451887
320,0.472296637,0.181899911,0.123058096,0.086952605
325,0.505599758,0.192401189,0.133631924,0.095466129
330,0.542224349,0.200004578,0.143207686,0.103826013
335,0.584295714,0.204593744,0.151467415,0.111855351
340,0.632892975,0.206324416,0.158134061,0.11937296
345,0.687747057,0.205634622,0.162991057,0.12620031
350,0.747219704,0.203228828,0.165899272,0.132168887
355,0.808505116,0.200037329,0.166809976,0.137127594
360,0.86794192,0.197154988,0.165772767,0.140949776
365,0.921325032,0.195765273,0.162937877,0.143539478
370,0.96415766,0.19705641,0.158552783,0.144836561
375,0.991857973,0.202136297,0.152953554,0.144820398
380,1,0.21195212,0.1465518,0.143511923
385,0.984690795,0.227219676,0.139818396,0.140973969
390,0.943141371,0.248366736,0.13326531,0.137309891
395,0.874385936,0.27549432,0.127426773,0.132660639
400,0.780007619,0.308359287,0.12284088,0.127200502
405,0.664717245,0.3463805,0.120032306,0.121131852
410,0.536640704,0.388668583,0.119496429,0.114679263
415,0.406944173,0.434075807,0.121684773,0.10808338
420,0.288036559,0.481258746,0.12699132,0.101594923
425,0.190098443,0.528743394,0.135739203,0.095469127
430,0.117694122,0.574981788,0.148167344,0.089960864
435,0.069179397,0.618391886,0.164417032,0.085320575
440,0.03917116,0.657378358,0.184518996,0.081791012
445,0.021663309,0.690340055,0.208382169,0.07960469
450,0.011833906,0.715678735,0.235785868,0.078981808
455,0.00643808,0.731830712,0.266377232,0.080128321
460,0.003508064,0.737345398,0.299675397,0.083233781
465,0.001921644,0.731027823,0.335082901,0.088468552
470,0.001060693,0.71214211,0.371903444,0.09598005
475,0.000590794,0.680640232,0.40936373,0.105887791
480,0.000332328,0.637345867,0.44663605,0.118277208
485,0.000188871,0.58400899,0.482858102,0.133192447
490,0.00010847,0.523174389,0.517147253,0.150628646
495,6.29502E-05,0.457875847,0.548608277,0.170524437
500,3.69141E-05,0.39124311,0.576336049,0.192755625
505,2.18687E-05,0.326143092,0.599417516,0.217131023
510,1.3086E-05,0.264947177,0.616939872,0.243391283
515,7.90758E-06,0.209443953,0.628013544,0.271211209
520,4.8243E-06,0.160848646,0.631818274,0.300205546
525,2.97081E-06,0.119836574,0.627677097,0.329937609
530,1.84612E-06,0.086558826,0.615155356,0.35992965
535,1.15741E-06,0.060657337,0.594170521,0.389673486
540,7.31904E-07,0.041331518,0.565086677,0.418639922
545,4.66727E-07,0.027484499,0.528761054,0.446285813
550,3.00066E-07,0.017917615,0.486515352,0.472058285
555,1.94456E-07,0.011507129,0.44002406,0.495396519
560,1.26995E-07,0.007314065,0.39113928,0.515732583
565,8.35645E-08,0.004619785,0.341693957,0.532493796
570,5.53916E-08,0.002909473,0.293331251,0.545109924
575,3.69803E-08,0.001831835,0.247394483,0.553028848
580,2.48611E-08,0.001155347,0.204887512,0.555743841
585,1.68275E-08,0.000731035,0.166491857,0.552833854
590,1.14654E-08,0.000464547,0.132613298,0.544015076
595,7.86243E-09,0.000296697,0.103430336,0.529197683
600,5.42571E-09,0.000190551,0.07892759,0.508537111
605,3.7672E-09,0.000123103,0.058913507,0.482466338
610,2.63134E-09,8.00151E-05,0.043035356,0.451696481
615,1.84871E-09,5.23326E-05,0.030807466,0.417178721
620,1.30628E-09,3.44419E-05,0.021659352,0.380030243
625,9.28139E-10,2.28093E-05,0.014996191,0.341437022
630,6.63052E-10,1.51995E-05,0.010255869,0.302552892
635,4.76191E-10,1.01909E-05,0.00694916,0.264414422
640,3.43765E-10,6.87414E-06,0.004678239,0.227884983
645,2.49423E-10,4.66456E-06,0.003136882,0.193631995
650,1.81867E-10,3.18378E-06,0.002099354,0.162132336
655,1.3325E-10,2.18559E-06,0.001404696,0.133695248
660,9.80904E-11,1.50883E-06,0.000940962,0.108490595
665,7.25414E-11,1.04739E-06,0.000631694,0.086572894
670,5.38892E-11,7.3101E-07,0.000425332,0.0678967
675,4.02096E-11,5.12907E-07,0.000287404,0.052324923
680,3.0132E-11,3.61747E-07,0.000194978,0.039636026
685,2.26754E-11,2.56434E-07,0.000132842,0.029536675
690,1.71345E-11,1.82686E-07,9.09154E-05,0.021683077
695,1.29999E-11,1.30783E-07,6.25097E-05,0.015709041
700,9.90194E-12,9.40725E-08,4.31817E-05,0.011255009
705,7.57143E-12,6.79832E-08,2.99717E-05,0.007991915
710,5.81135E-12,4.93542E-08,2.09019E-05,0.005636192
715,4.47696E-12,3.59907E-08,1.46458E-05,0.003955521
720,3.46149E-12,2.63608E-08,1.03106E-05,0.002767336
725,2.68586E-12,1.93906E-08,7.2924E-06,0.0019329
730,2.09129E-12,1.43235E-08,5.18146E-06,0.001349547
735,1.63389E-12,1.06242E-08,3.69829E-06,0.000942842
740,1.28079E-12,7.91215E-09,2.65147E-06,0.000659652
745,1.00729E-12,5.91577E-09,1.90933E-06,0.000462481
750,7.94736E-13,4.44029E-09,1.38085E-06,0.00032508
755,6.29004E-13,3.3455E-09,1.0029E-06,0.000229176
760,4.99368E-13,2.53005E-09,7.31441E-07,0.000162088
765,3.97647E-13,1.92036E-09,5.35647E-07,0.000115034
770,3.17585E-13,1.46282E-09,3.93843E-07,8.19337E-05
775,2.54379E-13,1.11821E-09,2.90725E-07,5.85732E-05
780,2.04333E-13,8.57732E-10,2.15439E-07,4.20305E-05
785,1.64592E-13,6.60157E-10,1.60258E-07,3.02744E-05
790,1.32944E-13,5.09779E-10,1.19656E-07,2.18895E-05
795,1.0767E-13,3.94938E-10,8.96691E-08,1.5887E-05
800,8.74304E-14,3.06945E-10,6.74394E-08,1.15742E-05
